,Name,AER,cgDIST,GT,Deadweight
11468,FINNWAVE,32.14,13.781346108351077,33816.0,14500.0
11469,FINNTIDE,31.992556344338,13.726638277738349,33816.0,14509.0
11470,SIGRID,83.4,19.93426949507021,6694.0,1600.0
11471,MIMER,27.47400756143667,19.797377830750893,5873.0,4232.0
11472,MIDAS,29.2796410014171,21.108462455303933,5873.0,4234.0
11473,FJARDVAGEN,60.46375681995323,25.68708609271523,6040.0,2566.0
11474,MARFRET NIOLON,29.869367663763725,21.33468559837728,7395.0,5282.0
11475,TRANSPORTER,34.21941711527752,27.845921450151057,6620.0,5387.0
11476,HILDASAY,39.927510608203676,29.691033394688404,7606.0,5656.0
11477,HELLIAR,38.002778742618965,28.769392584801473,7606.0,5758.0
11478,EXCELLENT,24.002860320991577,17.967170215296775,8407.0,6293.0
11479,WORLD CARRIER,26.72112676056338,21.507765559460378,8821.0,7100.0
11480,GLOBAL CARRIER,40.62917594654788,33.0517495187408,8831.0,7184.0
11481,FLEET LEADER,28.316886726893678,23.07099988676254,8831.0,7195.0
11482,FLEET STAR,20.259173373346066,16.85620247418,8811.0,7331.0
11483,BALTIC BRIGHT,28.75901639344262,18.070663370416153,9708.0,6100.0
11484,AKRANES,50.36658556366586,29.334907888521492,10585.0,6165.0
11485,AVIVA,45.82419525999292,23.646071004837086,10957.0,5654.0
11486,FESTIVO,32.45652173913044,23.280835802276627,6413.0,4600.0
11487,MN PELICAN,37.22956934554086,27.274759854256377,12076.0,8847.0
11488,COLOR CARRIER,35.304416581949624,25.13874366605003,12433.0,8853.0
11489,BALTICBORG,29.803488372093025,20.285714285714285,12635.0,8600.0
11490,BOTHNIABORG,30.745348837209303,20.926790660862682,12635.0,8600.0
11491,MN CALAO,27.117079660735072,13.775609343978372,23673.0,12026.0
11492,MN TANGARA,29.548510249813262,15.039496472774891,23673.0,12049.0
11493,PIETRO MANUNTA,24.757865515114126,14.554603563171495,22059.0,12968.0
11494,SCA OBBOLA,22.333566311375154,12.834119891555376,19918.0,11446.0
11495,SCA ORTVIKEN,21.439111188264906,12.420173983003972,19887.0,11521.0
11496,SCA OSTRAND,22.100164345644842,12.83661575562701,19904.0,11561.0
11497,ELIANA MARINO,46.056105610561055,22.920886942239257,18265.0,9090.0
11498,FINNPULP,44.80841539838854,19.450878283848905,25732.0,11170.0
11499,FINNMILL,44.20153106640556,19.29737292087673,25732.0,11234.0
11500,CORONA SEA,41.80353982300885,18.445858877738296,25609.0,11300.0
11501,HAFNIA SEA,41.59380530973451,18.353313288297084,25609.0,11300.0
11502,FIONIA SEAWAYS,37.49290200464596,17.016673825608184,25609.0,11623.0
11503,JUTLANDIA SEAWAYS,38.19000257223699,17.39271349916045,25609.0,11663.0
11504,FINNSKY,32.80965517241379,14.06848828956707,33816.0,14500.0
